Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Elin Austevoll,F,21.0,177.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,100 metres Breaststroke,
Elin Austevoll,F,21.0,177.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,200 metres Breaststroke,
Elin Austevoll,F,21.0,177.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,200 metres Individual Medley,
Mette Bergmann,F,33.0,174.0,80.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,Discus Throw,
Cai Huijue,F,16.0,174.0,63.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Butterfly,
Cai Huijue,F,16.0,174.0,63.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,Bronze
Chao Na,F,16.0,178.0,69.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Freestyle Relay,Silver
Chen Jing,M,20.0,183.0,75.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Long Jump,
Chen Wenzhong,M,25.0,175.0,70.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,100 metres,
Chen Wenzhong,M,25.0,175.0,70.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,200 metres,
Chen Yan,F,15.0,168.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Freestyle,
Chen Yan,F,15.0,168.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,400 metres Freestyle,
Chen Yan,F,15.0,168.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 200 metres Freestyle Relay,
Chen Yan,F,15.0,168.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,400 metres Individual Medley,
Chen Yan,F,17.0,168.0,59.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Backstroke,
Chen Yan,F,17.0,168.0,59.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Backstroke,
Chen Yan,F,17.0,168.0,59.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,Bronze
Chen Yanhao,M,24.0,183.0,72.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,110 metres Hurdles,
Irene Karine Dalby,F,25.0,181.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,400 metres Freestyle,
Irene Karine Dalby,F,25.0,181.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,800 metres Freestyle,
Atle Thorold Lancelot Douglas,M,28.0,192.0,79.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,800 metres,
Du Xiujie,F,24.0,176.0,64.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,200 metres,
Du Xiujie,F,24.0,176.0,64.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,400 metres,
Pl Arne Fagernes,M,22.0,185.0,96.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,Javelin Throw,
Gao Hongmiao,F,22.0,162.0,51.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,10 kilometres Walk,
Gu Yan,F,22.0,172.0,62.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,10 kilometres Walk,
Anita Hkenstad (-Evertsen),F,28.0,170.0,55.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,Marathon,
Han Xue,F,14.0,177.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Breaststroke,
Han Xue,F,14.0,177.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,Bronze
Hanne Birgit Haugland,F,28.0,183.0,63.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,High Jump,
He Cihong,F,21.0,175.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Backstroke,
Steinar Breidsvoll Hoen,M,25.0,192.0,80.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,High Jump,
Huang Geng,M,26.0,180.0,73.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Long Jump,
Jiang Chengji,M,20.0,191.0,95.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,50 metres Freestyle,
Jiang Chengji,M,20.0,191.0,95.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Butterfly,
Jiang Chengji,M,20.0,191.0,95.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,
Vibeke Lambersy Johansen,F,17.0,172.0,60.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,50 metres Freestyle,
Vibeke Lambersy Johansen,F,17.0,172.0,60.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,100 metres Freestyle,
Le Jingyi,F,21.0,178.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,50 metres Freestyle,Silver
Le Jingyi,F,21.0,178.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Freestyle,Gold
Le Jingyi,F,21.0,178.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Freestyle Relay,Silver
Li Lei,F,22.0,175.0,74.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Javelin Throw,
Li Meisu,F,37.0,176.0,92.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Shot Put,
Li Mingcai,M,24.0,168.0,55.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,20 kilometres Walk,
Li Shaojie,M,20.0,194.0,100.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Discus Throw,
Li Tong,M,29.0,190.0,80.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,110 metres Hurdles,
Li Zewen,M,22.0,172.0,55.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,20 kilometres Walk,
Lin Li,F,25.0,168.0,63.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Breaststroke,
Lin Li,F,25.0,168.0,63.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Individual Medley,Bronze
Liu Limin,F,20.0,170.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Butterfly,Silver
Liu Limin,F,20.0,170.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Butterfly,
Mao Xinyuan,M,25.0,176.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,50 kilometres Walk,
Terrie Norlene Miller,F,18.0,177.0,68.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,100 metres Breaststroke,
Geir Anders Moen,M,27.0,190.0,85.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,200 metres,
Brge Mrk,M,24.0,186.0,84.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,100 metres Breaststroke,
Brge Mrk,M,24.0,186.0,84.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,200 metres Breaststroke,
Nian Yun,F,13.0,168.0,61.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Freestyle Relay,Silver
Nian Yun,F,13.0,168.0,61.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 200 metres Freestyle Relay,
Sigurd Njerve (Nilsen-),M,24.0,207.0,93.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,Triple Jump,
Pu Yiqi,F,15.0,174.0,70.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,800 metres Freestyle,
Pu Yiqi,F,15.0,174.0,70.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 200 metres Freestyle Relay,
Qu Yun,F,18.0,171.0,60.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Butterfly,
Ren Ruiping,F,20.0,176.0,64.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Triple Jump,
Ren Xiujuan,F,21.0,160.0,56.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Marathon,
Vebjrn Rodal,M,23.0,188.0,78.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,800 metres,Gold
Shan Ying,F,17.0,172.0,67.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,50 metres Freestyle,
Shan Ying,F,17.0,172.0,67.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Freestyle,
Shan Ying,F,17.0,172.0,67.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Freestyle,
Shan Ying,F,17.0,172.0,67.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Freestyle Relay,Silver
Shan Ying,F,17.0,172.0,67.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 200 metres Freestyle Relay,
Shan Ying,F,17.0,172.0,67.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,Bronze
"Elsa Katrine ""Trine"" Solberg-Hattestad",F,30.0,173.0,76.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,Javelin Throw,Bronze
Lena Bendicte Solli-Reimann,F,26.0,172.0,57.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,100 metres Hurdles,
Sui Xinmei,F,31.0,172.0,90.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Shot Put,Silver
Jim Sveny,M,24.0,185.0,69.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,"3,000 metres Steeplechase",
Svein-Inge Valvik,M,39.0,194.0,115.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,Discus Throw,
Wang Junxia,F,33.0,162.0,50.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,"5,000 metres",Gold
Wang Junxia,F,33.0,162.0,50.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",Silver
Wang Luna,F,15.0,170.0,68.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 200 metres Freestyle Relay,
Wang Mingxia,F,24.0,166.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",
Wang Xiangrong,F,24.0,172.0,60.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Triple Jump,
Wang Yan,F,25.0,170.0,52.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,10 kilometres Walk,Bronze
Wang Yiwu,M,20.0,178.0,70.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Breaststroke,
Wei Li,F,24.0,168.0,59.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,"5,000 metres",
Wu Yanyan,F,18.0,173.0,60.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Backstroke,
Wu Yanyan,F,18.0,173.0,60.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Individual Medley,
Wu Yanyan,F,18.0,173.0,60.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,400 metres Individual Medley,
Xiao Yanling,F,28.0,180.0,92.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Discus Throw,
Yan Jiankui,F,20.0,164.0,55.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,100 metres,
Yan Jiankui,F,20.0,164.0,55.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,200 metres,
Yang Siju,F,23.0,155.0,45.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,"5,000 metres",
Yang Siju,F,23.0,155.0,45.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",
Yu Guohui,M,19.0,181.0,70.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,20 kilometres Walk,
Yuan Yuan,F,20.0,162.0,63.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Breaststroke,
Yuan Yuan,F,20.0,162.0,63.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Breaststroke,
Zeng Qiliang,M,21.0,174.0,72.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Breaststroke,
Zeng Qiliang,M,21.0,174.0,72.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,
Zhang Huiqiang,M,19.0,168.0,64.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,50 kilometres Walk,
Zhang Jian,F,20.0,162.0,50.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,800 metres,
Zhang Lianbiao,M,27.0,193.0,110.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Javelin Throw,
Zhao Lifeng,M,18.0,184.0,76.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Freestyle,
Zhao Lifeng,M,18.0,184.0,76.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,
Zhao Yi,M,17.0,186.0,81.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Backstroke,
Zhao Yi,M,17.0,186.0,81.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Backstroke,
Zhao Yi,M,17.0,186.0,81.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,
Zhao Yongsheng,M,26.0,172.0,62.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,50 kilometres Walk,
Zou Sixin,M,29.0,178.0,76.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Triple Jump,